enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good health.,Yes,Properties and crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Clean water,More kiosk to be built.,Good health.,No
Tom Ocharo,Kokech,Female,Yes,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,Protected public wells ,,Yes,Yes,20,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable during floods and heavy rain ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We continuously practice hygiene ,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Reduced diseases infection ,"Water kiosk is far away from us, continuous treatment of water and frequent desilting ",Healthy life ,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We have installed hand washing containers, improved on issues that were taught by CHVs",No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Active community committees (e.g., WRUAs / WPCs) Flood preparedness awareness",1,1,1,1,1,0,,Access to clean and safe water,Unreliable supply due to bad weather that affects the performance of solar panels,Proper reduction in waterborne diseases due to clean and safe water,No
Tom Akumu,Kabong'o,Female,No,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,Improved hygiene,Yes,Some parts of my farm has been affected,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Improved hygiene in our house hold,Un predictable weather forecast,Healthy life,No
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved hygiene skills ,Yes,It's affected crops on the homestead ,Store water/food ,,Yes,,Yes,"Improved sanitation facilities Hygiene education / training Access to clean water points (Kiosks) Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities ,Canals are not enough from the communities ,They is no water born diseases ,Yes
Joy Dawince Otieno,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Improved hygiene skills,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities Active community committees (e.g., WRUAs / WPCs)",1,1,1,0,1,0,,It's improved on hygiene skills and sanitation,Canals are not enough for communities to allow water to flow,No water born diseases like cholera,Yes
Joy Dawince Otieno,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It's improved on hygiene skills,No,,Store water/food ,,Yes,,Yes,"Flood preparedness awareness Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,It's improved flood preparation awareness,Canals are not enough,Change on hygiene skills,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved on hygiene skills,Yes,"Affect the crops on homestead 
Latrine drop out",Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,1,1,0,1,0,,Improved sanitation facilities,More canals are still required,No water born diseases within the area,No
Mollet Atieno,Kokech,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Provision of clean water to the community,Yes,"The canals built,prevented soil erosion",Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,"Clean water,canals to reduce flooding",Not all people can get it,Reduction of flooding,No
Janet Wesonga,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Good health,Yes,Crop damage,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Access to clean water.,Are not enough.,Good health,No
Andericus Oguma,Kaswa,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,We know how and time to wash our hands ,Yes,Crop damaged and the house ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Improved hygean and water cleaned ,We should have more canals ,Access to soft and clean water ,No
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,High skills  on hygiene and sanitation ,No,,Store water/food ,,Yes,,Not sure/Don't know ,,,,,,,,,Education on hygiene and sanitation ,Lack of enough canals and water kioks ,Availability of water kioks within the village hence reducing overcrowding ,No
Tom Akumu,Kabong'o,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,0,0,,Yes,Drinking clean water ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Improved hygiene ,Floods in some parts,Drinking clean water ,No
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water gets into the pit during heavy rainfall causing health problems ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of cholera and skin related diseases because of routine hand washing. ,No,,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water ,Sometimes change of weather affect the pumping of water by solar panels. ,My people no longer complain of stomach problems caused by dirty water.,No
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent toilet,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Improved on hygiene skills,Yes,It's affected crops,Store water/food ,,Yes,,Yes,"Hygiene education / training Improved sanitation facilities Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs)",1,1,1,0,1,0,,Improved on sanitation facilities and hygiene skills,More canals is  required,They is no water born diseases,No
Tom Ocharo,Kokech,Male ,,Yes,Yes,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,Yes,1,Yes,No,It's situated very far away ,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,By practicing hygiene knowledge gained during training ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Canal desilting and hygiene training ,"Water point is far away, continuous training in Sanitation and desilting of canals/rivers",Improved hygiene ,No
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,0,0,1,1,0,,Yes,Our health has improved,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Hygiene education,Lack of hand washing materials,Hygiene education,No
Andericus Oguma,Kaswa,Male ,,No,,60+ years (Elderly),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,Yes,Water only Soap and water,1,0,0,0,0,1,1,0,1,0,,Yes,We have hand washing and water is available,Yes,Crop were flooded,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Improved hygean,We lack materials for hand washing,Access to clean and soft water,No
Janet Wesonga,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during heavy rain,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,After practicing what were taught and put in action water born deseases reduced.,Yes,Properties and crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good health.,What we have are not enough.,Hygiene improvement and access to clean water.,No
Mollet Atieno,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Collapses due to heavy rains,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water for the community,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Provision of water and good houses to the cimmunity,"Distance is far,not all people can access it",Good houses and clean water to the community,No
Samuel Muga,Kogola East,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We use hand washing materials everyday, this minimizes the spread of germs that causes diseases like cholera",No,,Use Protect latrines ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water,Change of weather affect the performance of the solar which in turn affects the supply of water,"Less cases of cholera and skin related diseases, we use clean and safe water",No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,0,0,,Yes,My family maintaining hygiene ie washing their hands regularly,No,,Other,Opening blocked drainage ,Yes,,Yes,Hygiene education / training Access to clean water points (Kiosks) Improved sanitation facilities,1,1,1,0,0,0,,Access to clean water kioks ,The canals are not enough hence floods are not fully controled,Access to clean water kioks and education on hygiene and sanitation ,No
Joy Dawince Otieno,Kabong'o,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,No water born diseases,Yes,It's affected crops on the farm,Store water/food ,,Yes,,Yes,Hygiene education / training Flood preparedness awareness Improved sanitation facilities Access to clean water points (Kiosks),1,1,1,1,0,0,,Improved sanitation facilities,More canals are required,Is no water born diseases,No
Judith Onyango,Kaswa,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It collapsed easily during flood.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It improve hygiene ,Yes,The flood affect the house and damage his property  also crop damage ,Store water/food ,,No,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,"As know they  are drink clean water , they are improving about hygiene.",They are still affected by flood.,Accessibility of clean water.,No
Andericus Oguma,Kaswa,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,1,0,0,,Yes,We have clean toilet,Yes,Damage crops ,Other,No preparation ,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,We are clean ,Flood still destroying our farms,Access to clean and soft water ,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water infiltrate into the pit raising the level of the waste. This is causing havoc amongst household members,No,Yes,,No,,,,,,1,1,1,1,1,0,,Yes,Less cases of cholera and skin diseases.,Yes,Rain water flows into my house as well as my farms,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water,Unreliable water supply which is caused by bad weather. This affects the performance of solar system,Less cases of waterborne diseases,No
Joy Dawince Otieno,Kabong'o,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,They is no water born diseases ,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved sanitation facilities ,More canals are required ,No water born diseases within the community ,No
Mollet Atieno,Kokech,Female,No,Yes,Yes,36-59 years (Adult),Farming,,"20,001 and Above",Yes,Protected public wells ,,Yes,Yes,2,Yes,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Clean water for the community,Yes,Reduced crop damage,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,When a  poor person is assisted. She's happy,Not all people in the community can access it,Presence of clean water has improved waterborne diseases,No
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during rainy and floody seasons,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Education on hygiene practices and improved skills on sanitation ,No,,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean water kiosk,"Lack of enough canals 
Lack of enough water kioks"," Easily accessing clean water
Hygiene practices helping reduce water born diseases ",No
Tom Akumu,Kabong'o,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,1,0,,Yes,Reduction of water borne deseases ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks),1,0,0,0,0,0,,Improved hygiene ,Some places still get flooded ,Improved hygiene ,No
Andericus Oguma,Kaswa,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood ,No,Yes,,No,,,,,,0,1,1,1,0,0,,Yes,"Because we know how wash hands 
",Yes,It destroyed house and crops ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities,1,1,1,0,0,0,,Access to soft and clean water ,We want more canals ,Access to water kiosk ,No
Janet Wesonga,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,0,0,,Yes,Less sickness,Yes,Crop damage.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Good health.,Are not enough.,Less sickness.,No
Wycliffe Osalo,Kagola West,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Floods infiltrate into the pit causing the waste to float upto the ground ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,"We wash our hands at critical times a day, this reduces the risk of being infected with germs ",Yes,Water flow upto the farms destroying crops as well as getting into my house. ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean and safe water. ,The supply is not constant because of change of weather which in turn affects the performance of solar system ,Less cases of waterborne diseases ,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,18-35 years (Youth),Salaried Employed,,"20,001 and Above",Yes,Piped HFHK Water,,No,Yes,2,Yes,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,Due to swampy sites,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Because of hygiene education and availability of water around my homestead ,No,,Other,Opening blocked drainage system ,Not sure,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,"Easily accessing clean water 
",Lack of enough canals ,"Accessing piped water from
 HFHK ",No
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,1,0,,Yes,Improved hygiene ,Yes,Most parts of my well drained ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Flood preparedness awareness,1,0,1,1,0,0,,Floods preparedness ,Lack of hand washing materials ,Drinking clean water ,No
Mollet Atieno,Kokech,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Presence of clean water in the community has improved lifestyle,Yes,Crops damage has been reduced,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Washing hands after toilet use has reduced diseases through oral fecal route,Distance has made it not possible to access it,Presence of clean water in the community and good houses,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Properties  and crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good health.,They are not enough.,Access of clean water,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,18-35 years (Youth),Trade,,"0 - 10,000",Yes,Piped HFHK Water,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It always sinks during flood floods due to clay soil,No,Yes,,Yes,Water only,0,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene skills like placing water and soap in the toilet,Yes,Because of the desilted canals which were built,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to clean water kioks ,Lack of enough canals to control floods,"Improved hygiene skills and sanitation and easily accessing piped water from HFHK
",No
Tom Akumu,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,0,0,,Yes,Drinking clean water,Yes,Less water erosion,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Reduction of water borne deseases,Still experiencing some little flooding,Drinking clean water,No
Wycliffe Osalo,Kagola West,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water gets into the pit this causes the pit to crave in ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We follow the trainings by CHV concerning hygiene and sanitation. We have installed hand washing containers. ,Yes,Floods gets into the farms and destroys all the crops ,Store water/food ,,No,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water ,Access to clean water remains a challenge because of distance and flooding is still a problem. ,trainings from CHV concerning hygiene and sanitation ,No
Tom Ocharo,Kokech,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify",None,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,By knowledge acquired during Hygiene training ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved pit Latrine ,"Water kiosk is situated very far away,more training is required and quarterly desilting of canals ",Improved hygiene ,No
Elizabeth Anyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,Have toilet,Yes,Destroyed crops and my house,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Flood preparedness awareness,1,0,0,1,0,0,,Improved hygean,Need more canals to reduce flood,During construction of latrine we fetch and get money,No
