enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Elizabeth Anyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost,1,1,1,0,0,,Yes,Income generating activities  Rest/Leisure ,1,0,0,0,1,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Water is available,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food Before eating food After cleaning the environment,0,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Children Adult women,1,0,1,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Cholerae reduced,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Stored food/water in advance,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Dug canals along our farms,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,17.21
Samuel Muga,Kogola East,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,>100 litres,Rarely,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,Yes,Small businesses   Health ,0,1,0,0,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Am told there's short queues for those using the kiosks.,,Water Committee,Water Committee,Water Committee,Yes,Not sure,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,1,0,1,1,0,0,,Yes,Less cases of typhoid and cholera because of hand washing facilities,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Hygiene trainers  Maintenance jobs ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,462.44
Elizabeth Anyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Rest/Leisure  Income generating activities ,1,1,0,0,1,0,,Yes, Health  Livestock  Farming/fishing yields ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Don't know ,Yes,Water is available ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,Before preparing food Before eating food,0,0,0,1,1,,Sometimes ,Often,Often,Often,Often,Yes,Youth Children Adult men,0,1,1,1,0,,"Wash hands with soap before eating or preparing food Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,People are healthy ,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,More shade/food ,Farming/fishing improved ,,,Yes,Property damage Latrine collapse Crop loss,1,1,0,1,0,,Dig canals along our farms ,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,157.15
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Reduced cost Shorter queues Improved quality ,1,1,1,1,0,,Yes,Childcare  Household chores  School attendance (especially girls)  Rest/Leisure ,0,1,1,1,1,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues plus some pipeline extension have brought water closer to us. ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Practice safe disposal of child feces Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,1,0,1,1,1,0,,Yes,Reduced cases of waterborne diseases like cholera and or typhoid ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,Yes,Property damage Crop loss Latrine collapse,1,1,0,1,0,,"Dig small canals to pave way for water to pass, evacuate family members and other valuables. ",Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,678.54
Tom Akumu,Kabong'o,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,20–50 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,Yes,Education  Small businesses ,0,1,0,1,0,0,0,,No change ,Yes,,No,,Yes,Yes,Those who are using the water don't queue a lot,,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom Before preparing food,1,1,0,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,After using treated water we don't get water borne deseases,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Fewer workdays lost ,,,Yes,Water source contamination Latrine collapse,0,0,1,1,0,,Dig gabions around my homestead,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,338.47
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Desilting canals aid water flow and reduce frequent flooding,,Water Committee,Don't know,County Government,Don’t know,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Children Youth Adult women,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean",1,1,0,1,1,0,1,0,0,0,,Yes,Good hygiene,,No,,Yes,,,No,No change ,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,More shade/food ,No effect,,,No,,,,,,,,,Yes,Government official Village Head SMS/radio,0,1,1,1,0,Much better protected,,351.19
Samuel Muga,Kogola East,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,1–2 times/week ,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Constructed or use a handwashing station (e.g., tippy tap) Store water safely in clean, covered containers",1,1,0,1,1,0,0,1,0,0,,Yes,"I have enough knowledge on how to go about hygiene and sanitation,  example I know critical times to my hand ",,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs  Water committee roles ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Don't know ,No, Somewhat ,Somewhat effective,No,Damaged,No change,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse,0,1,0,1,0,,"Evacuate family members to a safe place, raise household stuff to a higher ground ",Not sure,,,,,,,Somewhat better protected,,594.5
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  Rest/Leisure  Household chores ,1,1,0,1,1,0,,Yes,Education   Health ,0,0,0,1,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Reduced fights among young women  over water ,,Water Committee,Water Committee,Water Committee,Yes,Not sure,No,,,,,,Always,,Yes,Yes,Yes,After handling child/adult feces or cleaning child's bottom After defecation Before preparing food,1,1,0,1,0,,Often,Often,Often,Often,Often,Yes,Youth Children Adult men,0,1,1,1,0,,"Treat drinking water (e.g., boiling, chlorination) Built or improved household latrine Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",0,0,1,1,0,1,1,1,0,0,,Yes,Improved standards of cleanliness,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground,1,1,1,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Not sure,,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Better drainage ,Farming/fishing improved ,,,No,,,,,,,,,No,,,,,,,Somewhat better protected,,635.79
Elizabeth Anyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Rarely,30–60 min ,<30 min,Less,Closer water source Reduced cost,1,0,1,0,0,,Yes,Childcare  Rest/Leisure  Income generating activities ,1,1,0,0,1,0,,Yes, Health  Farming/fishing yields ,1,0,0,0,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,No,Yes,Close to water and availability of water,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,No,,,Before preparing food Before eating food,0,0,0,1,1,,Often,Often,Often,Often,Often,Yes,Children Youth,0,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Store water safely in clean, covered containers",1,1,0,0,1,0,0,0,0,0,,Yes,Reduce diseases like waterborne,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Don't know ,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,More shade/food ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig canals along our farms,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,58.08
Tom Akumu,Kabong'o,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  School attendance (especially girls) ,1,0,1,0,0,0,,Yes,Small businesses  Livestock ,0,1,0,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,There is enough water to serve the community ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation Before preparing food,1,0,0,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Few people visits health centres for treatments,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Fewer workdays lost ,,,No,,,,,,,,,Yes,Canal Committee SMS/radio,1,0,0,1,0,Much better protected,,104.56
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock  Education ,1,0,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Shorter distance.,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before eating food,1,1,1,0,1,,Often,Often,Sometimes ,Often,Often,Yes,Adult men,0,1,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,1,1,1,1,0,,Yes,Less money are used for treatment.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals,1,1,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage Water source contamination Latrine collapse,1,1,1,1,0,,"Dig canals around the compound, raise properties in a higher level.",Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,948.7
Samuel Muga,Kogola East,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,51–100 litres ,3–6 times/week ,>1 hour,30–60 min ,Less,Shorter queues Reduced cost Improved quality ,0,1,1,1,0,,Not Sure,,,,,,,,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,"Yes, short queues are witnessed, each village has it's own kiosk ",,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Youth Adult men,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,Reduced cases of waterborne disease infection ,,No,,Yes,,,No,Much safer,Raised household belongings Stored food/water in advance,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,Yes,Property damage Latrine collapse Crop loss,1,1,0,1,0,,"Evacuate family members, dig some small canals around the house, raise the household property where possible ",Not sure,,,,,,,Somewhat better protected,,513.47
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,>100 litres,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  Household chores  School attendance (especially girls) ,1,1,1,1,0,0,,Yes, Health ,0,0,0,0,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Reduced floods due to desilted canals though they are not enough,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After handling child/adult feces or cleaning child's bottom After defecation After cleaning the environment Before preparing food,1,1,1,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat",1,1,0,1,1,1,0,0,0,0,,Yes,Knowledge on how to observe  hygiene practices,,No,,Yes,,,Yes,Much safer,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,No,No, Somewhat ,Somewhat effective,Yes,Less erosion ,Better drainage ,Farming/fishing improved ,,,Yes,Crop loss,0,1,0,0,0,,Digging the blocked canals,No,,,,,,,Somewhat better protected,,323.65
Judith Onyango,Borda,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,20–50 litres ,Daily,30–60 min ,<30 min,Less,Reduced cost,0,0,1,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,No gathering and it less time to fetch water.,,Water Committee,Water Committee,Water Committee,No,Not sure,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom Before eating food After cleaning the environment,1,1,1,0,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes, Diseases are reduced by using clean water and maintain of hygiene.,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Moving to a high places.,Yes,Village Head Government official SMS/radio,0,1,1,1,0,Somewhat better protected,,121.79
Samuel Muga,Kogola East,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,3–6 times/week ,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Childcare  Household chores  Rest/Leisure  Income generating activities ,1,1,0,1,1,0,,Yes,Small businesses  Farming/fishing yields ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues witnessed ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,0,0,1,1,0,0,,Yes,Less cases of waterborne diseases like typhoid and cholera ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Don't know ,No, Somewhat ,Somewhat effective,No,Damaged,No change,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse,0,1,0,1,0,,"Store clean water, dig small canals around the farm. Raise the food items above the ground ",Not sure,,,,,,,Somewhat better protected,,431.78
Tom Akumu,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  School attendance (especially girls) ,1,0,1,0,0,0,,Yes,Small businesses  Livestock ,0,1,0,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,No,,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food,1,0,1,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,0,0,1,1,0,0,0,0,0,,Yes,Reduction of water borne deseases ,,No,,Yes,,,No,Much safer,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Fewer workdays lost ,,,Yes,Latrine collapse Crop loss,0,1,0,1,0,,Dig canals ,Yes,SMS/radio Canal Committee,1,0,0,1,0,Much better protected,,81.54
